Name - original,Album,Audio,Cords,Instru,Language,Learn?,Link,Lyrics,Name - EN,Name - ZW,Singer,Status,Top
*野火（遊訪家戶),,,No,Yes,Puyuma,Yes,https://www.youtube.com/watch?v=PTcgTJF97Og&list=OLAK5uy_lquISR5niGIF72LITUGzTWgL9sTv99kgE,,,野火（遊訪家戶),Samingad 紀曉君,Not Started,No
Aza-Aza,,,No,No,Amis,No,https://www.youtube.com/watch?v=Y85s_p8tVno,"mamelaw tu kaku
Takaw nu falucu nu maku
mamelaw tu kaku
Haye kisu
Ami ma’an kisu
A Patingwa ku kingcal hanaku
Melaw Kila mata atu hemut
Caay ka kapah nu kulul nu maku
Afunay Kuni Wawa nu Pangcah atu bunun
Matiyaay ku lungec kisu
Ira ku ceka adada ku falucu
Siruma saw maulah kaku
Nika Keman saw sicedam kila nguyus
ami pataluma kisu
kasasufana' kamu
Hani keman tu pah
sakelu Cha Cha kita",,,ABUS 阿布絲,Not Started,No
"cemavulid ",,,No,No,Paiwan,No,https://www.youtube.com/watch?v=2wSTPNgOjx4&list=RD2wSTPNgOjx4&start_radio=1,,,戰歌,Sauljaljui 戴曉君,Not Started,No
Sapuy,,,No,No,Paiwan,No,,"anema zua temeljateljar
vaivaik tu galiljegilj
ling ting ting saringsingsing
djemaljudjaljun

timitjamitja mara u kaka
idu idu patjatjiyaki
a maperaperaw

(oh hi yan)

anema zua temeljateljar
vaivaik tu galiljegilj
ling ting ting saringsingsing
djemaljudjaljun

timitja maru qucivauvaw
namasisapuy i kalevelevan
pateljateljar

(oh hi yan)

'isaceqalj nu tjayain
satja useljaseljangi
'isaceqalj nu tjayain
satja u seljaseljangi",Torch,,Sauljaljui 戴曉君,Not Started,No
Dipin Kari Tang,,,No,No,Paiwan,No,youtube.com/watch?v=E3o9EP2xFxw&list=PLks11XVo1uVKG8V7njKgRw3S7DB7gvBfY&index=4,,,麵包 咖哩 刺蝟,Sauljaljui 戴曉君,,No
Semusu ta pana,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=ZXfzKXtn2n0&list=RDZXfzKXtn2n0&start_radio=1,,Tracing the River of Life,,Sauljaljui 戴曉君,Not Started,No
Sadeku na semenam,,,No,No,Paiwan,Yes,https://www.youtube.com/watch?v=oB5QebmpC0A&list=RDcAxY_PPLtzA&index=2,,,溫暖的光,Sangpuy 桑布伊,Not Started,No
*馬蘭姑娘,,,No,No,Amis,Yes,https://youtu.be/-maXsihWp7g?si=R-71hIDW83QEyy_I&t=126,"Inaaw hay ya amaaw, sololen kako ina
Matini similicayay ko wawa no tao to tireng ako ina
Ano caay kamo pisolol to tireng ako ina
Omaan say ko pinang ko nika patay makinotolo toloan no kasoling",,馬蘭姑娘,以莉·高露,In progress,No
*夫妻相好歌,,,No,No,Amis,Yes,,,,夫妻相好歌,,In progress,No
*怠惰歌,,,No,No,Amis,Yes,,"Talu amissan kako i, talu timulan kiso
Talu timulan kako i, talu amissan kiso
Tanamen kiso diy
Mitotokan ni calaw diy masalipaay diy masafadasay
O nanu aca nu kusuy ya ko
-
Matihenmok kako i, matokinil kiso
Matokinil kako i, matihenmok kiso",,怠惰歌,,In progress,Yes
*木瓜歌,,,No,No,Amis,Yes,,,,木瓜歌,,In progress,Yes
Kero no kaying,,,No,No,Amis,Yes,https://www.youtube.com/watch?v=4TChnpsn8Ic,,Amis Cha Cha,優美舞姿 / 阿美恰恰,,In progress,No
*我的爸爸是蔣總統,,,No,No,Amis,Yes,,,,我的爸爸是蔣總統,,In progress,No
排灣歌謠/感謝之歌 masalu - YouTube - 《謝正男》Paljaljim varengelan,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=S8YGY94JSXM,,,,Paljaljim varengelan 謝正男,Not Started,No
《Forever Truku》太魯閣族歌謠 - YouTube - HoHoBa 🍀Love🍀,,,No,No,Truku,No,https://www.youtube.com/watch?v=zAx7uv5uU98,,,,,Not Started,No
原歌/排灣族古調/思念 - YouTube - 蔡金茂,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=V5wH4yBgSFs&list=RDV5wH4yBgSFs&start_radio=1,,,,Kivi Pasulivai 吳美婷,Not Started,No
#排灣族#古調傳唱#思念#原住民經典歌曲#聲林之王3#邱軍#桑梅絹合唱歌曲#歡迎免費訂閲頻道#分享影片#按小鈴鐺@bbba - YouTube - 朱道祥-拉馬耀,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=M4sMG5aGGxU&list=RDV5wH4yBgSFs&index=2,,,,,Not Started,No
卑南族—美麗的稻穗 - YouTube - Celalaq Tuljaljuy,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=79gEdcy8-Uw&list=RDV5wH4yBgSFs&index=3,,,,Kivi Pasulivai 吳美婷,Not Started,No
《排灣族古謠》 - YouTube - HoHoBa 🍀Love🍀,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=zmFsp3eK7CM,,,,,Not Started,No
台灣原住民歌謠 Taiwan's Indigenous Tribal Music (Audio) - YouTube - 59N舞炯恩,,,No,No,,No,https://www.youtube.com/watch?v=9kDT_Y1g51k,,,,,Not Started,No
Arase 阿拉斯【 spi adringi na ico 夢人 】Official Music Video - YouTube - 那屋瓦Nanguaq,,,No,No,Rukai,No,https://www.youtube.com/watch?v=qJcAY_vcr9I,,,,Arase 阿拉斯,Not Started,No
Makav 真愛【embiyax su hug 你好嗎】Official Music Video - YouTube - 那屋瓦Nanguaq,,,No,No,Atayal,No,https://www.youtube.com/watch?v=iqU66VfCqkw,,,,,Not Started,No
Kivi【 macidilj 自己 】Official Music Video - YouTube - 那屋瓦Nanguaq,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=rgyfGzdJLyI,,,,Kivi Pasulivai 吳美婷,Not Started,No
elrg兒路創作藝術工寮 | 相見歌-nanguaq那屋瓦[N.21] - YouTube - 那屋瓦Nanguaq,,,No,No,Truku,No,https://www.youtube.com/watch?v=7FujbrtNRj4,,,,,Not Started,No
張威龍-大地(排灣語創作)-NANGUAQ那屋瓦[N.16] - YouTube - 那屋瓦Nanguaq,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=MZJYBB-Rn4A&list=RDMZJYBB-Rn4A&start_radio=1,,,,張威龍,Not Started,No
pangtre’|馬靖-murkezanga(堅強)-NANGUAQ那屋瓦[N.7] - YouTube - 那屋瓦Nanguaq,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=ajtNKOMgtLg&list=RDajtNKOMgtLg&start_radio=1,,,,pangtre’ 馬靖,Not Started,No
《太魯閣族▲祭祀祖靈古調♫》Taiwanese aborigines 彼得洛．烏嘎 - YouTube - HoHoBa 🍀Love🍀,,,No,No,Truku,No,https://www.youtube.com/watch?v=4uc9PpuOxy4,,,,,Not Started,No
臺灣原住民16族合唱《手牽手》Taiwan indigenous peoples - YouTube - HoHoBa 🍀Love🍀,,,No,No,,No,https://www.youtube.com/watch?v=53fYO2kb3MA,,,,,Not Started,No
Utjung舞炯恩 【Nasi生命／Su Vuvu Aken我是你的孩子】 (Short Film) - YouTube - 59N舞炯恩,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=Mx4VbdBqkxw,,,,Utjung 舞炯恩,Not Started,No
alja' a'en na gadu i 'avulungan (feat. 黃麗貞) - YouTube - 59N舞炯恩,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=mRqmRGMW8Sg,,,,Utjung 舞炯恩,Not Started,No
風的能力者 - Lju li ma 思念 - 桑梅絹 - YouTube - 風的能力者,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=8vPmmyuC47o&t=44s,,,,桑梅絹,Not Started,No
第一代排灣女聲: {吳美婷} 魯凱古調＆我想要回家.創作者:杜花兒 ~原住民族國際音樂節~ - YouTube - 曹瓦特,,,No,No,Rukai,No,https://www.youtube.com/watch?v=ZVdEaWBG-YQ&list=RDZVdEaWBG-YQ&start_radio=1,,,,Kivi Pasulivai 吳美婷,Not Started,No
驚嘆樂舞2021臺灣原住民樂舞饗宴 - Smratux 祭．Toda撥種祭 - YouTube - 臺灣原住民族賽德克族青年會,,,No,No,,No,https://www.youtube.com/watch?v=4jqvjY9WqZw&list=RD4jqvjY9WqZw&start_radio=1,,,,,Not Started,No
『We do SoR』布農族 kulumaha 回家 - YouTube - Martin Chang,,,No,No,Bunun,No,https://www.youtube.com/watch?v=dmhfo57zHXk&list=RDdmhfo57zHXk&start_radio=1,,,,,Not Started,No
Kulumaha回家吧｜布農聖詩 - YouTube - JF 耶式,,,No,No,Bunun,No,https://www.youtube.com/watch?v=hUYPXZgYCT8&list=RDdmhfo57zHXk&index=3,,,,,Not Started,No
DANUVAK|高詩捷-ZEMAWA(分享)-NANGUAQ那屋瓦[N.3] - YouTube - 那屋瓦Nanguaq,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=RdBmJSFBf4s,,,,DANUVAK 高詩捷,Not Started,No
senay za temuaali’an ngangidayan 友誼之歌 - YouTube - Katratripulr・卡大地布部落,,,No,No,Puyuma,No,https://www.youtube.com/watch?v=TgbvU7Ikx4s,,,,DANUVAK 高詩捷,Not Started,No
Balu&grandmother|巴魯＆VUVU–Paiwan ancient ballad(排灣古謠)-NANGUAQ那屋瓦[N.5] - YouTube - 那屋瓦Nanguaq,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=la8bCBofvic,,,,,Not Started,No
【嵐色旋律】2023EP44｜魯凱古謠—Ralhumedane ｜小魯凱｜TOLANSPACE LIVE SHOW｜ - YouTube - LantianMusic Studio嵐天音樂,,,No,No,Rukai,No,https://www.youtube.com/watch?v=OQI1YZI969o&list=RDOQI1YZI969o&start_radio=1,,,,小魯凱,Not Started,No
Kuljelje Tuquljingid|卓亞麥-老米酒Blues-NANGUAQ那屋瓦[N.6] - YouTube - 那屋瓦Nanguaq,,,No,No,Paiwan,No,https://www.youtube.com/watch?v=GKYxuG3Y2Zo,,,,Kuljelje Tuquljingid 卓亞麥,Not Started,No
排灣族大武(富山部落)父子歌手 排灣組曲 - YouTube - Ku ljelje忠雄,,,No,No,Paiwan,Yes,https://www.youtube.com/watch?v=krW5VQxuWrE&list=PL3HSaglqhRM5t_KpYYOCbi0UY9tFh1sfE,,,,,Not Started,No
阿美族歌曲 (那天晚上風的聲音) 檳榔兄弟 - YouTube - 曹瓦特,,,No,No,Amis,No,https://www.youtube.com/watch?v=ty83gKqXnaA&t=41s,,,,檳榔兄弟,Not Started,No
泰雅族民謠 Atayal Folk Song 【Swa I Yan ( Missing You ) 思念】（歐開合唱團 O-Kai Singers Cover) - YouTube - 歐開合唱團O-Kai Singers Official,,,No,No,Atayal,No,https://www.youtube.com/watch?v=G4MfE_ZsYaM&list=RDG4MfE_ZsYaM&start_radio=1,,,,歐開合唱團 O-Kai Singers,Not Started,No
尤勞尤幹-泰雅情歌swa i yan（思念） - YouTube - 尤幹尤勞,,,No,No,Atayal,No,https://www.youtube.com/watch?v=FV7MN6qJjp8&list=RDFV7MN6qJjp8&start_radio=1,,,,尤勞尤幹,Not Started,No
我講台語 Dwagie Feat.Leo王/KE柯蕭/鍾綺Bell/DJ Mr.Gin/阿跨面 - YouTube - 人人有功練,,,No,No,Taigi,No,https://www.youtube.com/watch?v=LzZyFX7Dlg4&list=RDLzZyFX7Dlg4&start_radio=1,,,,,Not Started,No
